index,type,width,height,x,y,frameWidth,frameHeight,isReference,refIndex
49,INDEXED/ARGB1555,77,111,237,225,500,500,0,
50,INDEXED/ARGB1555,77,111,237,225,500,500,0,
51,INDEXED/ARGB1555,65,85,190,253,500,500,0,
52,INDEXED/ARGB1555,64,82,197,256,500,500,0,
53,INDEXED/ARGB1555,87,83,240,253,500,500,0,
54,INDEXED/ARGB1555,83,108,237,228,500,500,0,
55,INDEXED/ARGB1555,77,111,237,225,500,500,0,
56,INDEXED/ARGB1555,77,111,237,225,500,500,0,
57,INDEXED/ARGB1555,77,111,237,225,500,500,0,
58,INDEXED/ARGB1555,77,111,237,225,500,500,0,
59,INDEXED/ARGB1555,77,111,237,225,500,500,0,
60,INDEXED/ARGB1555,71,107,189,231,500,500,0,
61,INDEXED/ARGB1555,64,107,197,231,500,500,0,
62,INDEXED/ARGB1555,77,90,202,249,500,500,0,
63,INDEXED/ARGB1555,77,90,202,249,500,500,0,
64,INDEXED/ARGB1555,77,90,202,249,500,500,0,
65,INDEXED/ARGB1555,75,93,199,244,500,500,0,
66,INDEXED/ARGB1555,77,93,200,244,500,500,0,
67,INDEXED/ARGB1555,82,89,217,248,500,500,0,
68,INDEXED/ARGB1555,107,82,226,252,500,500,0,
69,INDEXED/ARGB1555,107,82,225,252,500,500,0,
70,INDEXED/ARGB1555,107,82,226,252,500,500,0,
71,INDEXED/ARGB1555,107,82,226,252,500,500,0,
72,INDEXED/ARGB1555,107,82,226,252,500,500,0,
73,INDEXED/ARGB1555,107,82,226,252,500,500,0,
74,INDEXED/ARGB1555,107,82,226,252,500,500,0,
75,INDEXED/ARGB1555,71,101,202,238,500,500,0,
76,INDEXED/ARGB1555,71,101,202,238,500,500,0,
77,INDEXED/ARGB1555,70,101,202,238,500,500,0,
78,INDEXED/ARGB1555,70,100,202,239,500,500,0,
79,INDEXED/ARGB1555,70,104,201,235,500,500,0,
80,INDEXED/ARGB1555,66,137,208,204,500,500,0,
81,INDEXED/ARGB1555,47,140,208,201,500,500,0,
82,INDEXED/ARGB1555,45,140,208,201,500,500,0,
83,INDEXED/ARGB1555,45,140,208,201,500,500,0,
84,INDEXED/ARGB1555,45,140,208,201,500,500,0,
85,INDEXED/ARGB1555,45,140,208,201,500,500,0,
86,INDEXED/ARGB1555,45,140,208,201,500,500,0,
87,INDEXED/ARGB1555,45,140,208,201,500,500,0,
88,INDEXED/ARGB1555,45,140,208,201,500,500,0,
89,INDEXED/ARGB1555,45,140,208,201,500,500,0,
90,INDEXED/ARGB1555,64,106,200,233,500,500,0,
91,INDEXED/ARGB1555,64,105,200,234,500,500,0,
92,INDEXED/ARGB1555,64,104,200,235,500,500,0,
93,INDEXED/ARGB1555,64,104,200,235,500,500,0,
94,INDEXED/ARGB1555,64,105,200,234,500,500,0,
95,INDEXED/ARGB1555,64,106,200,233,500,500,0,
96,INDEXED/ARGB1555,62,102,198,240,500,500,0,
97,INDEXED/ARGB1555,62,102,198,240,500,500,0,
98,INDEXED/ARGB1555,62,102,198,240,500,500,0,
99,INDEXED/ARGB1555,57,108,203,231,500,500,0,
100,INDEXED/ARGB1555,102,62,171,285,500,500,0,
101,INDEXED/ARGB1555,108,57,168,287,500,500,0,
102,INDEXED/ARGB1555,113,43,168,308,500,500,0,
103,INDEXED/ARGB1555,113,43,168,308,500,500,0,
104,INDEXED/ARGB1555,57,108,203,231,500,500,0,
105,INDEXED/ARGB1555,68,99,208,238,500,500,0,
106,INDEXED/ARGB1555,78,92,193,236,500,500,0,
107,INDEXED/ARGB1555,100,93,185,237,500,500,0,
108,INDEXED/ARGB1555,77,97,196,238,500,500,0,
109,INDEXED/ARGB1555,74,97,208,238,500,500,0,
110,INDEXED/ARGB1555,82,93,196,236,500,500,0,
111,INDEXED/ARGB1555,95,95,188,237,500,500,0,
112,INDEXED/ARGB1555,88,99,198,238,500,500,0,
113,INDEXED/ARGB1555,75,93,199,244,500,500,0,
114,INDEXED/ARGB1555,77,93,200,244,500,500,0,
115,INDEXED/ARGB1555,82,89,217,248,500,500,0,
116,INDEXED/ARGB1555,107,82,226,252,500,500,0,
117,INDEXED/ARGB1555,107,82,225,252,500,500,0,
118,INDEXED/ARGB1555,107,82,226,252,500,500,0,
119,INDEXED/ARGB1555,107,82,226,252,500,500,0,
120,INDEXED/ARGB1555,107,82,226,252,500,500,0,
121,INDEXED/ARGB1555,107,82,226,252,500,500,0,
122,INDEXED/ARGB1555,107,82,226,252,500,500,0,
123,INDEXED/ARGB1555,69,100,190,239,500,500,0,
124,INDEXED/ARGB1555,71,99,188,240,500,500,0,
125,INDEXED/ARGB1555,64,100,201,239,500,500,0,
126,INDEXED/ARGB1555,64,112,202,229,500,500,0,
127,INDEXED/ARGB1555,65,80,200,233,500,500,0,
128,INDEXED/ARGB1555,65,80,200,233,500,500,0,
129,INDEXED/ARGB1555,65,110,201,231,500,500,0,
130,INDEXED/ARGB1555,71,112,201,229,500,500,0,
131,INDEXED/ARGB1555,71,112,201,229,500,500,0,
132,INDEXED/ARGB1555,64,100,201,239,500,500,0,
133,INDEXED/ARGB1555,51,80,199,226,500,500,0,
134,INDEXED/ARGB1555,58,96,199,223,500,500,0,
135,INDEXED/ARGB1555,50,80,216,239,500,500,0,
136,INDEXED/ARGB1555,50,80,216,239,500,500,0,
137,INDEXED/ARGB1555,50,80,216,239,500,500,0,
138,INDEXED/ARGB1555,50,80,216,239,500,500,0,
139,INDEXED/ARGB1555,71,107,189,231,500,500,0,
140,INDEXED/ARGB1555,71,107,189,231,500,500,0,
141,INDEXED/ARGB1555,64,107,197,231,500,500,0,
142,INDEXED/ARGB1555,91,68,250,271,500,500,0,
143,INDEXED/ARGB1555,88,70,251,269,500,500,0,
144,INDEXED/ARGB1555,88,70,251,269,500,500,0,
145,INDEXED/ARGB1555,88,70,251,269,500,500,0,
146,INDEXED/ARGB1555,88,70,251,269,500,500,0,
147,INDEXED/ARGB1555,88,70,251,269,500,500,0,
148,INDEXED/ARGB1555,88,70,251,269,500,500,0,
149,INDEXED/ARGB1555,88,70,251,269,500,500,0,
150,INDEXED/ARGB1555,88,70,251,269,500,500,0,
151,INDEXED/ARGB1555,88,70,251,269,500,500,0,
152,INDEXED/ARGB1555,88,70,251,269,500,500,0,
153,INDEXED/ARGB1555,88,70,251,269,500,500,0,
154,INDEXED/ARGB1555,88,70,251,269,500,500,0,
155,INDEXED/ARGB1555,88,70,251,269,500,500,0,
156,INDEXED/ARGB1555,88,70,251,269,500,500,0,
157,INDEXED/ARGB1555,58,75,197,260,500,500,0,
158,INDEXED/ARGB1555,58,75,197,260,500,500,0,
159,INDEXED/ARGB1555,52,117,201,224,500,500,0,
160,INDEXED/ARGB1555,52,117,201,224,500,500,0,
161,INDEXED/ARGB1555,52,117,201,224,500,500,0,
162,INDEXED/ARGB1555,52,117,201,224,500,500,0,
163,INDEXED/ARGB1555,52,117,201,224,500,500,0,
164,INDEXED/ARGB1555,52,117,201,224,500,500,0,
165,INDEXED/ARGB1555,72,117,204,224,500,500,0,
166,INDEXED/ARGB1555,78,117,204,224,500,500,0,
167,INDEXED/ARGB1555,78,117,204,224,500,500,0,
168,INDEXED/ARGB1555,78,117,204,224,500,500,0,
169,INDEXED/ARGB1555,78,117,204,224,500,500,0,
170,INDEXED/ARGB1555,78,117,204,224,500,500,0,
171,INDEXED/ARGB1555,78,117,204,224,500,500,0,
172,INDEXED/ARGB1555,78,117,204,224,500,500,0,
173,INDEXED/ARGB1555,78,117,204,224,500,500,0,
174,INDEXED/ARGB1555,78,117,204,224,500,500,0,
175,INDEXED/ARGB1555,78,117,204,224,500,500,0,
176,INDEXED/ARGB1555,45,117,208,224,500,500,0,
177,INDEXED/ARGB1555,46,117,207,224,500,500,0,
178,INDEXED/ARGB1555,46,117,207,224,500,500,0,
179,INDEXED/ARGB1555,46,117,207,224,500,500,0,
180,INDEXED/ARGB1555,40,111,209,224,500,500,0,
181,INDEXED/ARGB1555,40,111,211,224,500,500,0,
182,INDEXED/ARGB1555,47,110,210,225,500,500,0,
183,INDEXED/ARGB1555,46,112,208,225,500,500,0,
184,INDEXED/ARGB1555,36,113,211,224,500,500,0,
185,INDEXED/ARGB1555,31,113,216,224,500,500,0,
186,INDEXED/ARGB1555,50,112,209,225,500,500,0,
187,INDEXED/ARGB1555,49,112,206,225,500,500,0,
188,INDEXED/ARGB1555,57,108,201,232,500,500,0,
189,INDEXED/ARGB1555,70,105,188,235,500,500,0,
190,INDEXED/ARGB1555,79,83,197,257,500,500,0,
191,INDEXED/ARGB1555,77,77,198,263,500,500,0,
192,INDEXED/ARGB1555,82,76,193,264,500,500,0,
193,INDEXED/ARGB1555,81,76,193,264,500,500,0,
194,INDEXED/ARGB1555,75,89,194,251,500,500,0,
195,INDEXED/ARGB1555,88,114,198,226,500,500,0,
196,INDEXED/ARGB1555,91,82,209,258,500,500,0,
197,INDEXED/ARGB1555,79,80,212,260,500,500,0,
198,INDEXED/ARGB1555,79,80,212,260,500,500,0,
199,INDEXED/ARGB1555,69,91,205,249,500,500,0,
200,INDEXED/ARGB1555,65,93,203,247,500,500,0,
201,INDEXED/ARGB1555,64,127,202,213,500,500,0,
202,INDEXED/ARGB1555,62,130,201,210,500,500,0,
203,INDEXED/ARGB1555,62,130,201,210,500,500,0,
204,INDEXED/ARGB1555,70,131,199,209,500,500,0,
205,INDEXED/ARGB1555,77,134,190,206,500,500,0,
206,INDEXED/ARGB1555,112,86,197,258,500,500,0,
207,INDEXED/ARGB1555,110,96,198,250,500,500,0,
208,INDEXED/ARGB1555,110,96,198,250,500,500,0,
209,INDEXED/ARGB1555,110,96,198,250,500,500,0,
210,INDEXED/ARGB1555,77,85,188,252,500,500,0,
211,INDEXED/ARGB1555,87,84,190,253,500,500,0,
212,INDEXED/ARGB1555,76,99,202,236,500,500,0,
213,INDEXED/ARGB1555,75,108,259,231,500,500,0,
214,INDEXED/ARGB1555,74,50,267,290,500,500,0,
215,INDEXED/ARGB1555,75,50,267,290,500,500,0,
216,INDEXED/ARGB1555,75,50,267,290,500,500,0,
217,INDEXED/ARGB1555,75,50,267,290,500,500,0,
218,INDEXED/ARGB1555,82,70,269,270,500,500,0,
219,INDEXED/ARGB1555,83,72,269,268,500,500,0,
220,INDEXED/ARGB1555,85,72,269,268,500,500,0,
221,INDEXED/ARGB1555,85,72,269,268,500,500,0,
222,INDEXED/ARGB1555,95,67,201,276,500,500,0,
223,INDEXED/ARGB1555,95,68,200,275,500,500,0,
224,INDEXED/ARGB1555,92,79,195,264,500,500,0,
225,INDEXED/ARGB1555,91,108,186,235,500,500,0,
226,INDEXED/ARGB1555,94,108,183,235,500,500,0,
227,INDEXED/ARGB1555,96,108,181,235,500,500,0,
228,INDEXED/ARGB1555,97,108,180,235,500,500,0,
229,INDEXED/ARGB1555,81,86,194,254,500,500,0,
230,INDEXED/ARGB1555,84,89,191,251,500,500,0,
231,INDEXED/ARGB1555,99,90,200,245,500,500,0,
232,INDEXED/ARGB1555,74,99,251,236,500,500,0,
233,INDEXED/ARGB1555,111,91,266,244,500,500,0,
234,INDEXED/ARGB1555,78,80,268,255,500,500,0,
235,INDEXED/ARGB1555,98,64,245,271,500,500,0,
236,INDEXED/ARGB1555,97,66,245,269,500,500,0,
237,INDEXED/ARGB1555,97,66,245,269,500,500,0,
238,INDEXED/ARGB1555,98,98,174,242,500,500,0,
239,INDEXED/ARGB1555,98,98,174,242,500,500,0,
240,INDEXED/ARGB1555,72,73,214,266,500,500,0,
241,INDEXED/ARGB1555,101,66,215,273,500,500,0,
